split,date,symbol,side,horizon_seconds,rows,clipped_turnover,weighted_pnl_bps,mean_pnl_bps
train,2025-12-16,btcusdt,buy,1,2087309,5820456518.540199,-0.12401127732517174,-0.17516007407563092
train,2025-12-16,btcusdt,sell,1,2140123,5956410352.3878,-0.05857155904969469,-0.1564278837800351
train,2025-12-16,btcusdt,buy,5,2087309,5820456518.540199,-0.3007859734063894,-0.3674965033390976
train,2025-12-16,btcusdt,sell,5,2140123,5956410352.3878,-0.10020237324296137,-0.21308937257078298
train,2025-12-16,btcusdt,buy,10,2087309,5820456518.540199,-0.3041710291858163,-0.4029847444916703
train,2025-12-16,btcusdt,sell,10,2140123,5956410352.3878,-0.08534270085074183,-0.223492554633257
train,2025-12-16,btcusdt,buy,30,2087309,5820456518.540199,-0.11643331401776254,-0.2293387489741489
train,2025-12-16,btcusdt,sell,30,2140123,5956410352.3878,0.04659987291434228,-0.1671071047958789
train,2025-12-16,btcusdt,buy,60,2087309,5820456518.540199,-0.013204275482496253,-0.2911276022628738
train,2025-12-16,btcusdt,sell,60,2140123,5956410352.3878,0.13206297910024892,-0.02414162644937575
train,2025-12-16,btcusdt,buy,120,2087309,5820456518.540199,0.2239085755283774,-0.21721597728748185
train,2025-12-16,btcusdt,sell,120,2140123,5956410352.3878,0.2127232147720885,0.07174381733085257
train,2025-12-16,btcusdt,buy,300,2087309,5820456518.540199,-0.16665036789259738,-0.5728171000131763
train,2025-12-16,btcusdt,sell,300,2140123,5956410352.3878,0.9995943274918592,0.7420521615110789
train,2025-12-17,btcusdt,buy,1,2898930,8556510048.938201,-0.24433870177307443,-0.21658643212964987
train,2025-12-17,btcusdt,sell,1,2883001,8410163461.8133,-0.05083453851758199,-0.136633533825301
train,2025-12-17,btcusdt,buy,5,2898930,8556510048.938201,-0.4188245043547379,-0.3097072169371605
train,2025-12-17,btcusdt,sell,5,2883001,8410163461.8133,-0.18203744773661798,-0.2988459690539917
train,2025-12-17,btcusdt,buy,10,2898930,8556510048.938201,-0.46502137405744215,-0.31166416833298694
train,2025-12-17,btcusdt,sell,10,2883001,8410163461.8133,-0.12416475638947275,-0.38063383084567504
train,2025-12-17,btcusdt,buy,30,2898930,8556510048.938201,-0.630551431041765,-0.2723615801987935
train,2025-12-17,btcusdt,sell,30,2883001,8410163461.8133,-0.09452589439162892,-0.42648703757249556
train,2025-12-17,btcusdt,buy,60,2898930,8556510048.938201,-1.5674781397655824,-0.6198574351016868
train,2025-12-17,btcusdt,sell,60,2883001,8410163461.8133,0.5261689458853731,-0.22822171734155583
train,2025-12-17,btcusdt,buy,120,2898930,8556510048.938201,-1.342573140828228,-0.15129149639313316
train,2025-12-17,btcusdt,sell,120,2883001,8410163461.8133,0.3540106984209034,-0.835640909816867
train,2025-12-17,btcusdt,buy,300,2898930,8556510048.938201,-1.5486144719957866,0.4093695123765638
train,2025-12-17,btcusdt,sell,300,2883001,8410163461.8133,-0.7387231358124765,-1.9999846264756977
train,2025-12-18,btcusdt,buy,1,3053208,9210239812.1985,-0.1923405502328752,-0.23941880361227483
train,2025-12-18,btcusdt,sell,1,3033593,9131792905.281403,-0.2215621225245974,-0.25184679301710383
train,2025-12-18,btcusdt,buy,5,3053208,9210239812.1985,-0.21249761416822824,-0.26368921451892663
train,2025-12-18,btcusdt,sell,5,3033593,9131792905.281403,-0.1283553495860831,-0.3108521834850403
train,2025-12-18,btcusdt,buy,10,3053208,9210239812.1985,-0.1355416384285467,-0.2528553591608848
train,2025-12-18,btcusdt,sell,10,3033593,9131792905.281403,-0.04168665546231815,-0.3106057830113916
train,2025-12-18,btcusdt,buy,30,3053208,9210239812.1985,-0.01672067794417416,-0.06926841683681813
train,2025-12-18,btcusdt,sell,30,3033593,9131792905.281403,-0.11996498372536232,-0.2722320039031732
train,2025-12-18,btcusdt,buy,60,3053208,9210239812.1985,0.5907014920011022,0.3897623230157004
train,2025-12-18,btcusdt,sell,60,3033593,9131792905.281403,-0.261790734823235,-0.4903376193259148
train,2025-12-18,btcusdt,buy,120,3053208,9210239812.1985,1.4817036133575683,1.2469017268878593
train,2025-12-18,btcusdt,sell,120,3033593,9131792905.281403,-1.7135202228725193,-1.5507939729091262
train,2025-12-18,btcusdt,buy,300,3053208,9210239812.1985,3.5986384062346346,3.1773862254223135
train,2025-12-18,btcusdt,sell,300,3033593,9131792905.281403,-3.9637216079790227,-3.499505459203857
train,2025-12-19,btcusdt,buy,1,2556468,7436838223.1957,-0.22892608005614232,-0.2720203622628911
train,2025-12-19,btcusdt,sell,1,2477316,7159207598.4243,-0.12326462509663386,-0.1608785153473468
train,2025-12-19,btcusdt,buy,5,2556468,7436838223.1957,-0.26526123427792037,-0.3098392959634742
train,2025-12-19,btcusdt,sell,5,2477316,7159207598.4243,-0.1854108868242837,-0.23310527794562125
train,2025-12-19,btcusdt,buy,10,2556468,7436838223.1957,-0.32241309555346626,-0.37394846196882636
train,2025-12-19,btcusdt,sell,10,2477316,7159207598.4243,-0.14063636374195393,-0.21903378277117774
train,2025-12-19,btcusdt,buy,30,2556468,7436838223.1957,-0.32001129164848485,-0.3677583476455711
train,2025-12-19,btcusdt,sell,30,2477316,7159207598.4243,-0.29650651279674956,-0.31286879248108573
train,2025-12-19,btcusdt,buy,60,2556468,7436838223.1957,-0.2959996240290428,-0.4731921307382058
train,2025-12-19,btcusdt,sell,60,2477316,7159207598.4243,-0.5295725554785455,-0.4041922441319233
train,2025-12-19,btcusdt,buy,120,2556468,7436838223.1957,-0.36734326088304553,-0.6703708254256402
train,2025-12-19,btcusdt,sell,120,2477316,7159207598.4243,-0.4467981437339927,-0.44017151660010445
train,2025-12-19,btcusdt,buy,300,2556468,7436838223.1957,-0.23026800451056315,-0.895602156647717
train,2025-12-19,btcusdt,sell,300,2477316,7159207598.4243,-0.06691470377236651,-0.26807697519486234
train,2025-12-20,btcusdt,buy,1,459876,1487330683.5679998,-0.11032337768525106,0.0005907436766750456
train,2025-12-20,btcusdt,sell,1,463991,1455667125.7327,-0.06700897507905669,-0.0509640190781019
train,2025-12-20,btcusdt,buy,5,459876,1487330683.5679998,-0.2247574027551764,-0.10497161161042123
train,2025-12-20,btcusdt,sell,5,463991,1455667125.7327,0.24271646548116338,0.0022322194817334224
train,2025-12-20,btcusdt,buy,10,459876,1487330683.5679998,-0.31134956693762617,-0.1686641987505648
train,2025-12-20,btcusdt,sell,10,463991,1455667125.7327,0.47901970826959833,0.10532063470134637
train,2025-12-20,btcusdt,buy,30,459876,1487330683.5679998,-0.34236097679357536,-0.15591949363173613
train,2025-12-20,btcusdt,sell,30,463991,1455667125.7327,0.7490764687172726,0.1794970528611979
train,2025-12-20,btcusdt,buy,60,459876,1487330683.5679998,0.09280770690494361,0.14383452931577193
