asof_mode,split,date,symbol,side,price_location,rows,share_within_side
strictly_previous_bbo,train,2025-12-06,btcusdt,sell,outside_or_ambiguous,0,0.0
same_timestamp_allowed,train,2025-12-06,btcusdt,sell,missing_bbo,0,0.0
strictly_previous_bbo,train,2025-12-06,btcusdt,sell,missing_bbo,0,0.0
same_timestamp_allowed,train,2025-12-07,btcusdt,buy,above_ask,1004532,0.6014048897539318
strictly_previous_bbo,train,2025-12-07,btcusdt,buy,above_ask,1009601,0.6044396575723414
same_timestamp_allowed,train,2025-12-07,btcusdt,buy,at_ask,637138,0.3814491809599302
strictly_previous_bbo,train,2025-12-07,btcusdt,buy,at_ask,631344,0.37798036171750254
same_timestamp_allowed,train,2025-12-07,btcusdt,buy,inside_spread,7374,0.004414752000977065
strictly_previous_bbo,train,2025-12-07,btcusdt,buy,inside_spread,7510,0.004496174061206639
same_timestamp_allowed,train,2025-12-07,btcusdt,buy,at_bid,1739,0.0010411247260237477
strictly_previous_bbo,train,2025-12-07,btcusdt,buy,at_bid,1787,0.0010698619237518327
same_timestamp_allowed,train,2025-12-07,btcusdt,buy,below_bid,19526,0.011690052559137262
strictly_previous_bbo,train,2025-12-07,btcusdt,buy,below_bid,20067,0.012013944725197553
same_timestamp_allowed,train,2025-12-07,btcusdt,buy,outside_or_ambiguous,0,0.0
strictly_previous_bbo,train,2025-12-07,btcusdt,buy,outside_or_ambiguous,0,0.0
same_timestamp_allowed,train,2025-12-07,btcusdt,buy,missing_bbo,0,0.0
strictly_previous_bbo,train,2025-12-07,btcusdt,buy,missing_bbo,0,0.0
same_timestamp_allowed,train,2025-12-07,btcusdt,sell,above_ask,18700,0.011207342427462423
strictly_previous_bbo,train,2025-12-07,btcusdt,sell,above_ask,19228,0.01152378503717901
same_timestamp_allowed,train,2025-12-07,btcusdt,sell,at_ask,1561,0.000935543397287104
strictly_previous_bbo,train,2025-12-07,btcusdt,sell,at_ask,1592,0.0009541224141454641
same_timestamp_allowed,train,2025-12-07,btcusdt,sell,inside_spread,7627,0.004571037470281065
strictly_previous_bbo,train,2025-12-07,btcusdt,sell,inside_spread,7756,0.004648350153336821
same_timestamp_allowed,train,2025-12-07,btcusdt,sell,at_bid,650924,0.3901138054681043
strictly_previous_bbo,train,2025-12-07,btcusdt,sell,at_bid,644937,0.38652565792194293
same_timestamp_allowed,train,2025-12-07,btcusdt,sell,below_bid,989737,0.5931722712368651
strictly_previous_bbo,train,2025-12-07,btcusdt,sell,below_bid,995036,0.5963480844733957
same_timestamp_allowed,train,2025-12-07,btcusdt,sell,outside_or_ambiguous,0,0.0
strictly_previous_bbo,train,2025-12-07,btcusdt,sell,outside_or_ambiguous,0,0.0
same_timestamp_allowed,train,2025-12-07,btcusdt,sell,missing_bbo,0,0.0
strictly_previous_bbo,train,2025-12-07,btcusdt,sell,missing_bbo,0,0.0
same_timestamp_allowed,train,2025-12-08,btcusdt,buy,above_ask,1205238,0.5938282633041766
strictly_previous_bbo,train,2025-12-08,btcusdt,buy,above_ask,1212339,0.5973269701966932
same_timestamp_allowed,train,2025-12-08,btcusdt,buy,at_ask,798212,0.39328402000978513
strictly_previous_bbo,train,2025-12-08,btcusdt,buy,at_ask,790441,0.38945519994757605
same_timestamp_allowed,train,2025-12-08,btcusdt,buy,inside_spread,5156,0.0025403932879616595
strictly_previous_bbo,train,2025-12-08,btcusdt,buy,inside_spread,5223,0.0025734046049309053
