split,symbol,side,venue,window_seconds,signed_liq_bucket,horizon_seconds,rows,clipped_turnover,weighted_pnl_bps,mean_pnl_bps
validation,btcusdt,sell,bybit,120,neg_1e5,120,7236981,19695112803.21778,-0.038975833593463655,-0.28809923412509847
validation,btcusdt,buy,bybit,300,neg_1e1,120,748663,1495904678.8463001,0.2938645929625234,-0.0013469369229475974
validation,btcusdt,buy,bybit,300,neg_1e5,120,10708733,24125388815.03747,-0.0619759992722903,0.043439527495913066
validation,btcusdt,sell,bybit,300,neg_1e1,120,758321,1572742041.1130998,-1.4834790665645525,-1.2514594858626449
validation,btcusdt,sell,bybit,300,neg_1e5,120,11042527,27280961545.726135,-0.18322540471497822,-0.4834458820768878
validation,btcusdt,buy,binance,1,neg_1e5,300,66988,188098579.6251001,1.5904665695114666,1.6985116089832193
validation,btcusdt,sell,binance,1,neg_1e5,300,109089,388796580.97530013,-5.167602468710398,-4.601983471274516
validation,btcusdt,buy,binance,5,neg_1e5,300,349375,924515973.9041995,1.5529224605598897,2.1602875641676538
validation,btcusdt,sell,binance,5,neg_1e5,300,461036,1520715422.915202,-3.978665850776381,-2.9944618574716255
validation,btcusdt,buy,binance,10,neg_1e5,300,714045,1875576568.6937983,0.971380903271467,2.061052848781947
validation,btcusdt,sell,binance,10,neg_1e5,300,886583,2889039984.841796,-2.7231111517036477,-2.136315144033121
validation,btcusdt,buy,binance,30,neg_1e5,300,2219459,5720644904.968187,1.6609884502600654,2.4440213321419466
validation,btcusdt,sell,binance,30,neg_1e5,300,2577676,8013936604.410495,-1.3622008692151053,-1.7977506421028384
validation,btcusdt,buy,binance,60,neg_1e5,300,4409461,10986599524.417658,-0.19774847660875416,0.4543434972290957
validation,btcusdt,sell,binance,60,neg_1e5,300,4945429,14500228829.47615,-0.05981204489196426,-0.2519283928385985
validation,btcusdt,buy,binance,120,neg_1e5,300,8066800,19509817064.87014,-0.7826708246183436,-0.211259991429291
validation,btcusdt,sell,binance,120,neg_1e5,300,8715570,23991652265.461655,0.4148583709768146,0.24982953028269178
validation,btcusdt,buy,binance,300,neg_1e1,300,176413,323847009.94159985,0.5477155322077836,0.9131592942128454
validation,btcusdt,buy,binance,300,neg_1e5,300,15151400,35028044846.65153,0.957100803122802,1.3795319376470145
validation,btcusdt,sell,binance,300,neg_1e1,300,174896,330511568.17010003,-2.673034833117459,-1.8641522897404474
validation,btcusdt,sell,binance,300,neg_1e5,300,15737870,40147248677.758606,-1.3641609730253923,-1.7603165196404578
validation,btcusdt,buy,bybit,1,neg_1e1,300,119304,296875847.65360016,1.5165312630138361,-0.04647532899680224
validation,btcusdt,sell,bybit,1,neg_1e1,300,164365,480225104.3486,-2.801238317596809,-2.973012054073945
validation,btcusdt,buy,bybit,5,neg_1e1,300,211654,506172482.6016002,-0.7194648613140107,0.03443350090834864
validation,btcusdt,buy,bybit,5,neg_1e5,300,1222037,3469086872.8841968,-0.44903444426438244,0.749409544777567
validation,btcusdt,sell,bybit,5,neg_1e1,300,265150,731526726.4696999,3.098428285372105,1.4855758844070794
validation,btcusdt,sell,bybit,5,neg_1e5,300,1574662,5783189309.733287,2.2274566152743955,0.6511853380500684
validation,btcusdt,buy,bybit,10,neg_1e1,300,276791,629148044.1166996,-0.08330824840333736,0.0264053262083663
validation,btcusdt,buy,bybit,10,neg_1e5,300,1787083,4910156819.658316,0.8256012965545411,2.2938018808323926
validation,btcusdt,sell,bybit,10,neg_1e1,300,336836,859921270.3701999,0.6495270169510282,-0.635770730331042
validation,btcusdt,sell,bybit,10,neg_1e5,300,2207953,7642113117.694213,-0.4943950718484383,-1.5284066774721938
validation,btcusdt,buy,bybit,30,neg_1e1,300,409226,887079226.2651998,-0.6239485728412688,-0.9275057213557308
validation,btcusdt,buy,bybit,30,neg_1e5,300,3338412,8665853819.130512,1.4796413827411392,1.8558577238327938
validation,btcusdt,sell,bybit,30,neg_1e1,300,424312,980082800.1805993,-1.6312737121175087,-1.2870715296467354
validation,btcusdt,sell,bybit,30,neg_1e5,300,3799137,11824370158.851608,-0.6668479207810951,-1.5125757647568727
validation,btcusdt,buy,bybit,60,neg_1e1,300,526961,1059726698.1256996,-4.678320944647535,-3.6757365138232174
validation,btcusdt,buy,bybit,60,neg_1e5,300,4794835,11979695063.823606,0.15368541854193263,0.5336372392873387
validation,btcusdt,sell,bybit,60,neg_1e1,300,519914,1108952028.8104994,1.156728614452987,0.6262075037453877
validation,btcusdt,sell,bybit,60,neg_1e5,300,5291583,15350329339.868393,-0.867491150957515,-1.2328636062906606
validation,btcusdt,buy,bybit,120,neg_1e1,300,636920,1257136795.1878004,-2.854127274484368,-3.1926656810895904
validation,btcusdt,buy,bybit,120,neg_1e5,300,6789100,16375589150.627518,0.060540104023909476,0.3293171328222294
validation,btcusdt,sell,bybit,120,neg_1e1,300,643703,1273152655.2544994,1.841897410314604,1.4523319666180137
validation,btcusdt,sell,bybit,120,neg_1e5,300,7236981,19695112803.21778,-0.1511134455944934,-0.49474658564039214
validation,btcusdt,buy,bybit,300,neg_1e1,300,748663,1495904678.8463001,2.35928382448768,2.179320313444809
validation,btcusdt,buy,bybit,300,neg_1e5,300,10708957,24125998443.48527,-0.4727640571345216,0.07647348368495403
validation,btcusdt,sell,bybit,300,neg_1e1,300,758321,1572742041.1130998,-3.297405464278362,-3.1403706295887397
validation,btcusdt,sell,bybit,300,neg_1e5,300,11043520,27282524724.331734,-0.1438606157027631,-0.6481052927704873
validation,btcusdt,buy,binance,5,pos_1e0,30,4128,11002436.617700005,4.640581868991873,4.7369884169935705
validation,btcusdt,sell,binance,5,pos_1e0,30,2403,7069476.4754000055,-8.944454628381747,-5.904035961336225
validation,btcusdt,buy,binance,10,pos_1e0,30,5256,10138670.681800002,4.708829763546616,2.560384531728921
validation,btcusdt,sell,binance,10,pos_1e0,30,4134,9086529.275400002,-6.602546545423561,-2.236200805017304
validation,btcusdt,buy,binance,5,pos_1e0,120,4128,11002436.617700005,18.027454304316635,15.337438454997187
validation,btcusdt,sell,binance,5,pos_1e0,120,2403,7069476.4754000055,-31.00474270214216,-22.51960159809105
validation,btcusdt,buy,binance,10,pos_1e0,120,5256,10138670.681800002,15.079508301114792,10.578300703463906
validation,btcusdt,sell,binance,10,pos_1e0,120,4134,9086529.275400002,-24.563460555170153,-14.25979471365905
validation,btcusdt,buy,binance,5,pos_1e0,300,4128,11002436.617700005,17.32304439634903,11.45930444531148
validation,btcusdt,sell,binance,5,pos_1e0,300,2403,7069476.4754000055,-33.171554895037346,-18.546975162652643
validation,btcusdt,buy,binance,10,pos_1e0,300,5256,10138670.681800002,8.887358216627415,3.187726697863718
validation,btcusdt,sell,binance,10,pos_1e0,300,4134,9086529.275400002,-24.87358918734249,-7.5777894348741475
validation,btcusdt,buy,binance,120,pos_1e0,30,65600,122662254.65179996,-0.10207500924357596,-0.3106069532603611
validation,btcusdt,sell,binance,120,pos_1e0,30,66021,136904416.1883,0.04925743708336805,0.1389519686105456
