split,symbol,side,venue,window_seconds,liq_pressure_bucket,maker_vs_liq_pressure,horizon_seconds,rows,clipped_turnover,weighted_pnl_bps,mean_pnl_bps
validation,btcusdt,sell,bybit,10,no_pressure,none,120,77753563,155708725132.94672,-0.4812052928132658,-0.4770242919509251
validation,btcusdt,sell,bybit,10,upward_pressure,opposite_direction,120,6871942,16744133520.874584,-2.2580482753444038,-2.136533899036709
validation,btcusdt,buy,bybit,30,downward_pressure,opposite_direction,120,14742500,35234683803.59897,-0.3635521194341242,0.01751390248701817
validation,btcusdt,buy,bybit,30,no_pressure,none,120,67454889,132599938198.51506,-0.40218625808087133,-0.31355847518571145
validation,btcusdt,buy,bybit,30,upward_pressure,same_direction_toxic_risk,120,12873457,36580042365.44704,1.965112874719404,1.6308275553782088
validation,btcusdt,sell,bybit,30,downward_pressure,same_direction_toxic_risk,120,16566612,46914667677.494,0.3724887605142336,-0.20741851077907497
validation,btcusdt,sell,bybit,30,no_pressure,none,120,67331098,132108995112.6836,-0.3103178277547974,-0.32448058691719683
validation,btcusdt,sell,bybit,30,upward_pressure,opposite_direction,120,11527884,26840218898.801075,-2.002075189912516,-1.9615966828304734
validation,btcusdt,buy,bybit,60,downward_pressure,opposite_direction,120,19848077,46073903701.77372,-0.38581691280240565,0.020849437447492087
validation,btcusdt,buy,bybit,60,no_pressure,none,120,58187610,112830728398.7113,-0.35968815570190554,-0.3240096646541843
validation,btcusdt,buy,bybit,60,upward_pressure,same_direction_toxic_risk,120,17035159,45510032267.07606,1.408576526268508,1.08839968799788
validation,btcusdt,sell,bybit,60,downward_pressure,same_direction_toxic_risk,120,21546011,57529235928.64973,0.1989244546912221,-0.3119705478841813
validation,btcusdt,sell,bybit,60,no_pressure,none,120,58002180,112496428923.56645,-0.3687713927321821,-0.36354062742688464
validation,btcusdt,sell,bybit,60,upward_pressure,opposite_direction,120,15877403,35838216836.7624,-1.3174548738194805,-1.2652601584308898
validation,btcusdt,buy,bybit,120,downward_pressure,opposite_direction,120,26150100,58894971946.760574,-0.13366984346346886,0.11162004434240702
validation,btcusdt,buy,bybit,120,no_pressure,none,120,46686757,89778961965.11562,-0.4343604154406646,-0.3455314493461058
validation,btcusdt,buy,bybit,120,upward_pressure,same_direction_toxic_risk,120,22233989,55740730455.68536,0.9438933386359151,0.598831027003339
validation,btcusdt,sell,bybit,120,downward_pressure,same_direction_toxic_risk,120,27549063,69391624538.6666,0.009101115727528765,-0.41238944180093356
validation,btcusdt,sell,bybit,120,no_pressure,none,120,46503652,89903001713.51782,-0.4464613828084008,-0.4329810908345475
validation,btcusdt,sell,bybit,120,upward_pressure,opposite_direction,120,21372879,46569255436.794235,-0.8106217012479507,-0.7673636536054916
validation,btcusdt,buy,bybit,300,downward_pressure,opposite_direction,120,35650430,77726852795.59027,0.036612265877021336,0.1726777260030294
validation,btcusdt,buy,bybit,300,no_pressure,none,120,29410195,56550381277.80464,-0.5319826173945957,-0.39756581200913294
validation,btcusdt,buy,bybit,300,upward_pressure,same_direction_toxic_risk,120,30010221,70137430294.16653,0.47025473813449753,0.18786892140585545
validation,btcusdt,sell,bybit,300,downward_pressure,same_direction_toxic_risk,120,36570410,86766495272.42862,-0.272607680480558,-0.6534827078729853
validation,btcusdt,sell,bybit,300,no_pressure,none,120,29235682,56731225444.86902,-0.374261033108929,-0.39267027189144615
validation,btcusdt,sell,bybit,300,upward_pressure,opposite_direction,120,29619502,62366160971.681206,-0.5190511289726677,-0.422654015123797
validation,btcusdt,buy,binance,1,downward_pressure,opposite_direction,300,3922250,10404056104.59709,-2.0186673999673483,-0.788543152401436
validation,btcusdt,buy,binance,1,no_pressure,none,300,86890210,180236379499.17215,0.07955431319420146,0.1804782473813511
validation,btcusdt,buy,binance,1,upward_pressure,same_direction_toxic_risk,300,4254303,13764454809.017395,4.795587869666242,4.626527422829851
validation,btcusdt,sell,binance,1,downward_pressure,same_direction_toxic_risk,300,5423527,17958880163.935966,2.390465912838771,1.3597459070347295
validation,btcusdt,sell,binance,1,no_pressure,none,300,86759699,179788583505.11218,-0.7322844665648888,-0.7197045628927937
validation,btcusdt,sell,binance,1,upward_pressure,opposite_direction,300,3240674,8114155199.060098,-4.236693189571562,-4.113789989513959
validation,btcusdt,buy,binance,5,downward_pressure,opposite_direction,300,9497501,23321815597.379898,-1.2838850161731317,-0.4695844567800849
validation,btcusdt,buy,binance,5,no_pressure,none,300,75506401,151297398277.88562,-0.021293663394549616,0.06932712395696937
validation,btcusdt,buy,binance,5,upward_pressure,same_direction_toxic_risk,300,10062861,29785676537.52129,3.105825391035767,3.130006084413393
validation,btcusdt,sell,binance,5,downward_pressure,same_direction_toxic_risk,300,11822363,35706845922.309616,1.4211853951206732,0.684873750716208
validation,btcusdt,sell,binance,5,no_pressure,none,300,75450331,151263656603.2684,-0.7684259531546943,-0.6885569945609682
validation,btcusdt,sell,binance,5,upward_pressure,opposite_direction,300,8151206,18891116342.52976,-3.049825619395122,-3.0109848535525536
validation,btcusdt,buy,binance,10,downward_pressure,opposite_direction,300,13244581,31358734511.396244,-1.1486539664979232,-0.4292929020404174
validation,btcusdt,buy,binance,10,no_pressure,none,300,68249060,134664447104.44519,-0.1626376633797893,-0.038912163679965216
validation,btcusdt,buy,binance,10,upward_pressure,same_direction_toxic_risk,300,13573122,38381708796.94529,3.0552769662038766,2.9921710081107054
validation,btcusdt,sell,binance,10,downward_pressure,same_direction_toxic_risk,300,15661757,45159298028.28756,1.1112932396211466,0.48322507217128663
validation,btcusdt,sell,binance,10,no_pressure,none,300,68172434,134604106532.599,-0.6524974207039218,-0.6090622122668815
validation,btcusdt,sell,binance,10,upward_pressure,opposite_direction,300,11589709,26098214307.221607,-3.274548650839743,-2.972040545196973
validation,btcusdt,buy,binance,30,downward_pressure,opposite_direction,300,21579390,48735682595.968666,-1.07924202339358,-0.341689600938797
validation,btcusdt,buy,binance,30,no_pressure,none,300,52119625,100220498125.29874,-0.3121481987973558,-0.269043283056462
validation,btcusdt,buy,binance,30,upward_pressure,same_direction_toxic_risk,300,21367748,55448709691.51954,2.5830384598329323,2.5116108215849415
validation,btcusdt,sell,binance,30,downward_pressure,same_direction_toxic_risk,300,24055511,63542452157.68496,0.7306905148728291,0.19517248701203171
validation,btcusdt,sell,binance,30,no_pressure,none,300,51911154,100420884100.79578,-0.3817973773817437,-0.34387382098057734
validation,btcusdt,sell,binance,30,upward_pressure,opposite_direction,300,19457235,41898282609.62725,-3.1312242626869846,-2.839163524353034
validation,btcusdt,buy,binance,60,downward_pressure,opposite_direction,300,27997095,61581134555.73457,-0.8559333189888565,-0.19032173189698476
