strategy,rows,final_pnl,pnl_volatility,max_drawdown,turnover,fill_count,buy_fills,sell_fills,final_inventory,max_abs_inventory,avg_abs_inventory,avg_quoted_spread_ticks,gamma,k,tau_seconds,max_inventory,quote_refresh_seconds,score
avellaneda_stoikov_mid,172790,-124.06160924999702,0.052732084170085264,134.82673239999664,605094.9794659014,7704,3856,3848,26515.0,59820.0,28252.96053012327,81.30948131622978,0.00001,0.025,60.0,50000.0,1.0,-137.5471077860497
avellaneda_stoikov_mid,172790,-125.20289644999977,0.039984418603619995,126.81955349999987,620189.6054967021,7915,3951,3964,515.0,103222.0,20647.860865790844,83.50661370787677,0.0001,0.025,60.0,100000.0,5.0,-137.88691658608633
avellaneda_stoikov_mid,172790,-125.44465940000038,0.031383619756814654,126.65459940000038,658922.8101220006,8386,4192,4194,-4796.0,59217.0,16274.760449100064,83.82598195396733,0.0001,0.025,60.0,50000.0,2.0,-138.11174681604533
avellaneda_stoikov_mid,172790,-123.32547644999602,0.08175650155219735,151.57412849999594,633859.7674419013,8079,4041,4038,56275.0,109557.0,46320.5364430812,81.30189915691044,0.00001,0.025,60.0,100000.0,1.0,-138.48752135363992
avellaneda_stoikov_mid,172790,-125.73485210000092,0.04098681896706374,128.64967330000087,667096.8591164021,8483,4238,4245,146.0,59970.0,21275.849505179696,82.34931497756419,0.0001,0.025,30.0,50000.0,2.0,-138.60194701495152
avellaneda_stoikov_mid,172790,-125.97104755000151,0.04406430409796754,128.0290972000015,611117.1207863011,7773,3890,3883,-32163.0,59933.0,22677.365779269632,82.18549500785727,0.0001,0.025,30.0,50000.0,5.0,-138.77622500657958
avellaneda_stoikov_mid,172790,-126.17850614999944,0.036899844544380285,127.7633261999996,611581.5256841022,7795,3889,3906,-55.0,59860.0,18849.756889866312,83.55239774653049,0.0001,0.025,60.0,50000.0,5.0,-138.95672374568838
avellaneda_stoikov_mid,172790,-129.45883240000097,0.06283654838850987,137.20002450000015,688026.1391273043,8761,4381,4380,-714.0,109407.0,32884.7538167718,81.87548595905496,0.00001,0.025,180.0,100000.0,2.0,-143.18212332538266
avellaneda_stoikov_mid,172790,-130.06300600000006,0.04884454457654377,133.59734780000014,684575.1697358021,8708,4351,4357,-348.0,106561.0,25406.932525030385,82.30858847542785,0.0001,0.025,30.0,100000.0,2.0,-143.4252814732526
avellaneda_stoikov_mid,172790,-129.32712624999806,0.09551032042091848,148.89435594999867,617192.7194604981,7864,3944,3920,34655.0,109995.0,53139.488205335954,81.11655843117182,0.00001,0.025,30.0,100000.0,5.0,-144.22187579381847
avellaneda_stoikov_mid,172790,-129.29325565,0.08615340839126681,151.431128099999,682703.9350884994,8704,4353,4351,36107.0,109845.0,46988.13003646045,81.28281569873936,0.00001,0.025,60.0,100000.0,2.0,-144.44106727300354
avellaneda_stoikov_mid,172790,-133.53859574999763,0.09720927544505216,158.0360869499982,523889.3267383008,6627,3318,3309,86705.0,109796.0,59649.76623068465,81.15082969550717,0.00001,0.025,30.0,100000.0,0.5,-149.3481694216205
avellaneda_stoikov_mid,172790,-137.86848544999953,0.09663788469393292,167.59406944999967,628020.7774410023,8003,4009,3994,77205.0,109972.0,55900.62580589155,81.1424946345982,0.00001,0.025,30.0,100000.0,1.0,-154.63348245758007
avellaneda_stoikov_mid,172790,-138.08068209999863,0.10105008701549988,168.6014874999986,620837.2015985021,7912,3965,3947,79432.0,109783.0,58036.99019040454,81.0967504039368,1e-6,0.025,180.0,100000.0,1.0,-154.94663454901755
avellaneda_stoikov_mid,172790,-139.57791905000045,0.10917995357540877,173.26687245000096,610899.091767201,7786,3901,3885,78089.0,109996.0,61439.89559002257,81.02323820015836,1e-6,0.025,60.0,100000.0,1.0,-156.91075028455955
avellaneda_stoikov_mid,172790,-141.2550485500053,0.11064691228388888,174.68334815000583,608577.5408970008,7756,3887,3869,73271.0,109999.0,61618.55713872331,81.00258438891262,1e-6,0.025,30.0,100000.0,1.0,-158.72954522071979
avellaneda_stoikov_mid,172790,-143.22462389999828,0.10274440386959807,166.36172659999892,518855.99928249914,6562,3285,3277,80452.0,109763.0,62224.703536084264,81.10832426588306,1e-6,0.025,180.0,100000.0,0.5,-159.86701903035177
avellaneda_stoikov_mid,172790,-156.56124204999992,0.11344227339203934,179.51447785000045,506546.0873697991,6411,3212,3199,82533.0,109993.0,67135.04617744082,81.02615821662762,1e-6,0.025,60.0,100000.0,0.5,-174.51940333961772
avellaneda_stoikov_mid,172790,-159.9670279500026,0.1161109323244301,182.87579355000315,503776.8544965999,6376,3195,3181,81711.0,109919.0,68087.04295966202,81.0063399957017,1e-6,0.025,30.0,100000.0,0.5,-178.26141600929887
avellaneda_stoikov_mid,172790,-180.0674783500017,0.022949763657929508,180.2561063500017,1040574.1696947911,13159,6577,6582,6855.0,58420.0,11924.659991897679,49.28158370459642,0.0001,0.05,180.0,50000.0,5.0,-198.09428145100105
avellaneda_stoikov_mid,172790,-180.84087144999967,0.023178709361090014,181.02996024999965,1043799.9157050988,13202,6591,6611,6783.0,93223.0,12030.921123907634,49.24905919921395,0.0001,0.05,180.0,100000.0,5.0,-198.945070567112
avellaneda_stoikov_mid,172790,-185.08146900000008,0.03767923445378513,185.64405699999998,1110603.5770545998,14059,7022,7037,1024.0,105889.0,20695.723820822965,43.4741083588478,0.0001,0.05,60.0,100000.0,5.0,-203.64794427238218
avellaneda_stoikov_mid,172790,-188.93511104999897,0.03484552044749242,189.52097279999902,1093628.7322879022,13843,6907,6936,-3461.0,59832.0,19095.146148503965,43.4899563134011,0.0001,0.05,60.0,50000.0,5.0,-207.8891178446137
avellaneda_stoikov_mid,172790,-196.84008050000284,0.04273094831159769,197.68652095000266,1096430.3687764935,13877,6930,6947,-12200.0,59944.0,23831.65741651716,42.19306089600286,0.0001,0.05,30.0,50000.0,5.0,-216.61111576074478
avellaneda_stoikov_mid,172790,-199.53055599999806,0.047039602915916245,200.67604619999838,1093459.7887196047,13838,6913,6925,-16480.0,59958.0,25911.47764338214,41.74890502468777,0.00001,0.05,180.0,50000.0,5.0,-219.60075176776223
avellaneda_stoikov_mid,172790,-202.93310365000372,0.05272306373829049,203.90706635000362,1129440.5483199952,14283,7135,7148,-15907.0,109706.0,29480.031807396263,42.16975089710423,0.0001,0.05,30.0,100000.0,5.0,-223.3267582881848
